Date,Product,Category,Sales,Profit,Discount,Region,Customer_Type
2024-01-01,A,Electronics,500,50,0.1,North,Regular
2024-01-02,B,Furniture,300,30,0.05,South,New
2024-01-03,C,Clothing,700,70,0.15,East,VIP
2024-01-04,A,Electronics,600,60,0.2,West,Regular
2024-01-05,B,Furniture,400,40,0.1,North,New
2024-01-06,C,Clothing,550,55,0.12,South,Regular
2024-01-07,D,Kitchen,720,72,0.08,East,VIP
2024-01-08,E,Electronics,430,43,0.05,West,Regular
2024-01-09,F,Furniture,800,80,0.18,North,New
2024-01-10,G,Clothing,620,62,0.1,South,VIP
2024-01-11,H,Kitchen,390,39,0.06,East,Regular
2024-01-12,A,Electronics,510,51,0.2,West,New
2024-01-13,B,Furniture,280,28,0.05,North,VIP
2024-01-14,C,Clothing,750,75,0.1,South,Regular
2024-01-15,D,Kitchen,490,49,0.12,East,New
2024-01-16,E,Electronics,560,56,0.2,West,VIP
2024-01-17,F,Furniture,620,62,0.15,North,Regular
2024-01-18,G,Clothing,870,87,0.1,South,New
2024-01-19,H,Kitchen,470,47,0.05,East,VIP
2024-01-20,A,Electronics,330,33,0.08,West,Regular
2024-01-21,B,Furniture,410,41,0.15,North,VIP
2024-01-22,C,Clothing,590,59,0.1,South,Regular
2024-01-23,D,Kitchen,460,46,0.2,East,New
2024-01-24,E,Electronics,740,74,0.05,West,VIP
2024-01-25,F,Furniture,680,68,0.1,North,Regular
2024-01-26,G,Clothing,390,39,0.15,South,New
2024-01-27,H,Kitchen,590,59,0.08,East,VIP
2024-01-28,A,Electronics,730,73,0.1,West,Regular
2024-01-29,B,Furniture,450,45,0.2,North,New
2024-01-30,C,Clothing,530,53,0.1,South,VIP
